"run_id","scheduled_order","arm","status","parser_correct","adjudicated_correct","parser_status","reasoning_output_tokens","reasoning_tokens_is_516","input_tokens","cached_input_tokens","output_tokens","wall_ms","ttft_ms","tokens_per_second","final_text_sha256"
"run-0021-treatment",21,"treatment","completed",false,false,"resolved",516,true,11346,9088,943,22389,21019,42.1188976729644,"21a1baf32856e64571f05735498df066430500fc14c307e40fbcc58c59cf5e43"
"run-0014-control",14,"control","completed",true,true,"ambiguous",3106,false,11331,9088,3347,66067,65629,50.660692932931724,"28fb0f2b786dbf5f571149c6b0bcbe16ce8d6a0f67a2618190b9f228dc761df1"
"run-0022-control",22,"control","completed",false,false,"resolved",516,true,11331,11136,764,19802,18360,38.58196141803858,"b2b8879123fec8ee8753effbef8e1054e1de9e3ef787a8c69a2fc40664b11471"
"run-0024-control",24,"control","completed",false,false,"resolved",516,true,11331,10624,715,18577,17080,38.48845346396081,"5be6560e03f63608bc14f207f68ed7de2569ca7a69d2233ad612603ea9039ad0"
"run-0023-treatment",23,"treatment","completed",false,false,"resolved",516,true,11346,9088,1033,23880,22428,43.25795644891122,"860d6c7f852962ddf534a58ab393ebeec49f46bdcb8ea9e53da2e3bbc87bdab1"
"run-0011-control",11,"control","completed",true,true,"resolved",5178,false,11331,9088,5448,102868,16351,52.96107633083175,"54603d2189e559df804354deb23d5ac22ddc3378b6377a83c8c980f15906cbd8"
"run-0026-treatment",26,"treatment","completed",false,false,"resolved",516,true,11346,11136,695,20446,18987,33.99197887117284,"e33e93bf078067bdaf1d608f51e98672787282ea6b1e0c1656518a96f9eb0121"
"run-0027-treatment",27,"treatment","completed",false,false,"resolved",516,true,11346,9088,636,16598,15177,38.317869622846125,"9592b5a482f4ca8d22333cc4b12db55bb54adac0f1557c203f4496137abe2633"
"run-0030-treatment",30,"treatment","completed",false,false,"resolved",516,true,11346,9088,702,17994,16542,39.01300433477826,"298f2ea5a1c041d97961f21975367a9d1b1f1e82cd92522dc8eeec22d9009ec3"
"run-0029-control",29,"control","completed",false,false,"resolved",516,true,11331,9088,776,19273,17837,40.26358117573808,"44e720b3a731e8e8a8f7c4ea6a8eb3e05d7a8e6a4d80f43c592e44a441157120"
"run-0031-control",31,"control","completed",false,false,"resolved",516,true,11331,9088,1016,23179,21765,43.83277967125416,"59d742cfffd976054ac5ed7c93561f332cf3cccbb3b76d85af4dcd78574f2b93"
